Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",5(9),CHNW,T20I,Mong Kok,08 May 26,55.5,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",8(18),CHNW,T20I,Mong Kok,07 May 26,44.4,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",19*(26),HKC W,T20I,Mong Kok,07 May 26,73,1,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,13(24),BTNW,T20I,Gelephu,27 Jan 26,54.1,1,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,6(8),HKC W,T20I,Gelephu,26 Jan 26,75,1,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,7(14),BTNW,T20I,Gelephu,24 Jan 26,50,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,26(23),HKC W,T20I,Gelephu,21 Jan 26,113,4,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0(3),BTNW,T20I,Gelephu,20 Jan 26,0,0,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,1(15),THAIW,T20I,Bangkok,19 Dec 25,6.6,0,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,DNB,MMRW,T20I,Bangkok,18 Dec 25,DNB,DNB,DNB
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,1(2),IDNW,T20I,Bangkok,15 Dec 25,50,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",6(9),HKC W,T20I,Kuala Lumpur,04 Dec 25,66.6,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",8(6),HKC W,T20I,Kuala Lumpur,03 Dec 25,133.3,2,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",5(7),HKC W,T20I,Kuala Lumpur,01 Dec 25,71.4,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",20(27),HKC W,T20I,Kuala Lumpur,30 Nov 25,74,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,11(14),NEPW,T20I,Kuala Lumpur,08 Oct 25,78.5,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,15(15),NEPW,T20I,Kuala Lumpur,07 Oct 25,100,2,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,DNB,NEPW,T20I,Kuala Lumpur,05 Oct 25,DNB,DNB,DNB
NEPAL WOMEN TOUR OF MALAYSIA 2025,0(3),NEPW,T20I,Kuala Lumpur,04 Oct 25,0,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,7(5),NEPW,T20I,Kuala Lumpur,02 Oct 25,140,1,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,DNB,QATW,T20I,Bangkok,16 May 25,DNB,DNB,DNB
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2025,DNB,UAEW,T20I,Bangkok,09 May 25,DNB,DNB,DNB
"NAMIBIA WOMEN TOUR OF MALAYSIA, 2024",0(2),NAMW,T20I,Kuala Lumpur,12 Dec 24,0,0,0
"NAMIBIA WOMEN TOUR OF MALAYSIA, 2024",26(23),NAMW,T20I,Kuala Lumpur,11 Dec 24,113,1,1
"NAMIBIA WOMEN TOUR OF MALAYSIA, 2024",2(6),NAMW,T20I,Kuala Lumpur,10 Dec 24,33.3,0,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,16*(21),UAEW,T20I,Kuala Lumpur,18 Feb 24,76.1,0,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,DNB,NEPW,T20I,Kuala Lumpur,16 Feb 24,DNB,DNB,DNB
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,DNB,JPNW,T20I,Kuala Lumpur,14 Feb 24,DNB,DNB,DNB
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,DNB,BHRW,T20I,Kuala Lumpur,13 Feb 24,DNB,DNB,DNB
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,8*(12),QATW,T20I,Kuala Lumpur,11 Feb 24,66.6,0,0
ASIAN CRICKET COUNCIL WOMENS PREMIER CUP 2024,DNB,IDNW,T20I,Kuala Lumpur,10 Feb 24,DNB,DNB,DNB
"KUWAIT WOMEN TOUR OF MALAYSIA, 2024",DNB,KUWW,T20I,Johor Bahru,06 Feb 24,DNB,DNB,DNB
